"","symbol","Sector","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","fit.cluster"
"912","TAST","Consumer Services",-0.436597205341184,-0.426815987531956,-0.389076292920636,-0.370051527392436,-0.414699050384338,-0.350858348642972,-0.134901592778389,-0.205692509734287,-0.285178089459681,-0.18302175233158,-0.226748719156384,-0.792358292286099,-0.122026956954262,-0.203053742253436,-0.0288184631482459,-0.234300123735277,0.0540503770159801,-0.496344616539604,-0.0113711615079314,-0.762214491948845,-0.209486399457583,-0.221583818795823,0.03375070197261,-0.450407033642345,-0.0364960978861574,-0.164990930477925,0.0283031804728761,-0.0958283733133877,-0.724376939487571,-1.35653935201142,-0.496836877154131,-0.487520306904155,-0.516228570992903,-0.56069697957273,-2.11279542259087,1.45063088871544,0.0285116806719063,-0.472771627332916,-1.56337585754718,114
"913","TAYD","Capital Goods",-0.443451554347077,-0.434982719035942,-0.411028898350631,-0.410854371937715,-0.421001130192867,-0.337074025055134,-0.135227922571488,-0.208659086507791,-0.290142821607155,-0.177305516303952,-0.0252397295723854,-0.792358292286099,-0.0551943824461753,-0.105785108180582,-0.221469919057503,-0.132246333016994,0.0449998003793814,0.039184225041126,0.02131833089883,0.0496814430091489,-0.038503284436884,-0.370692423598247,0.0566795194391622,-0.234476990251224,-0.0182883811618361,-0.164809860194049,-0.18102944227922,0.0439844291141333,-0.531269209974438,-2.17271778162637,-0.538370563536699,-0.510805786367971,-0.516228570992903,-0.56069697957273,-3.73790293101559,0.329644679522038,-0.531035598979237,-0.459293188570362,-0.306353423788338,186
"914","TC","Basic Industries",-0.441891357258779,-0.42103198801615,-0.388016945239878,-0.395688070291797,-0.378832990376789,-0.3946570853444,-0.131717048707133,-0.191207978825821,-0.260490297871318,-0.134944723224704,-0.226748719156384,-0.430869389388157,-0.0308916280795984,-0.232657239579957,-0.357302512394445,-0.190076814424021,-0.229145085484047,-1.24309272184979,0.0495595695920132,-0.288103619482703,-0.123075242695983,-0.409909454678491,-0.096434028309703,-0.40670690581319,-0.0364960978861574,-0.157567048838998,-0.0105778161204892,-0.0249898867501104,-0.703255781572072,-0.969928516930661,-0.329275095373064,-0.352115494646153,-0.516228570992903,-0.56069697957273,1.46244109594351,-2.82427544658455,3.56781013564748,-0.404697944909949,0.128769726358954,76
"915","TCK","Basic Industries",-0.360984472320636,-0.257491752380013,-0.208788191994987,-0.298554712710493,-0.152653266856774,-0.24588567744032,-0.117398435796406,-0.0772367054771933,0.0069699580171918,-0.118790383080093,-0.106395404829503,-0.463287927363034,0.00501016814375401,-0.193749785950815,-0.34842456511752,-0.13904991906488,-0.133676099672182,-0.0708258081513001,0.0266286492855824,-0.506224915441567,-0.0547131695436777,-0.330007375311791,-0.043697748136633,-0.23704758600588,-0.0368301844315578,-0.139822161019122,-0.119078456926802,-0.036174910944312,0.23340291537444,0.132628309040407,0.424613617181727,0.728791304091893,0.385634277514041,1.55264958616577,0.974908843416092,-2.39478562897037,1.32086855513567,-0.469553675350029,0.143858922648561,171
"916","TD","Finance",1.0294247242826,-0.792997513403712,0.27461849142414,-0.411321671380081,-0.421566396567565,1.58191232074551,3.3602767315418,2.41904498456509,-9.6874774305414,-0.177494235907262,-0.125244973718182,-0.419323060794366,-0.00217019110091647,0.038849121614705,-0.223245508512888,-0.413461222996264,-0.331329015252098,0.91046368792514,0.107007559412334,-0.622859219530682,-0.0188955580288585,-0.323191581140091,-0.024080870970805,0.104841649363394,-0.038094940639145,2.11848641948589,-0.18102944227922,-0.122672431379472,0.177798234331596,0.0467147901335703,-0.270845963967889,-0.250110804052913,0.571311922794882,0.613384445837549,-0.000155661638738596,-0.310595016628475,-0.901293466416618,-0.422560762451759,-0.168458825025582,108
"917","TDC","Technology",-0.335969318903918,-0.349548595579405,-0.328556685262082,-0.284885990447513,-0.322781981571764,-0.228417811918925,-0.122147487073721,-0.197505843421743,-0.187837024544563,-0.069311119855755,-0.0898330221239685,-0.18884057847983,0.082889449182103,-0.0837939387380237,-0.0545645102513263,-0.108433781849395,-0.0711979254711454,0.283846538861082,0.0455595895084854,0.584381564352753,0.00158500834645581,-0.264051459404108,-0.0549073922313918,-0.0236881383694157,-0.0514584024551605,-0.0654022743459692,-0.127835322804267,-0.0529524472356146,-0.406266438637812,-0.0391987287732659,-0.221130422875039,-0.340370495862299,-0.516228570992903,-0.56069697957273,1.13741959425856,-0.54355199771689,-0.301137192875152,0.136763989072757,-1.21141428703743,38
"918","TDW","Consumer Services",-0.426235810614153,-0.393427830178337,-0.365384723243437,-0.359524048364517,-0.345374343149507,-0.359208372271331,-0.134093509695841,-0.180218316638369,-0.224611662185745,-0.17706904233616,-0.226748719156384,2.0054059439019,0.302718909134322,-0.194595600160144,-0.340434412568289,-0.132246333016994,-0.165791049027856,-0.448820282200476,0.0445940770745304,-0.271441576041401,-0.0687721275882237,-0.127001567367,-0.0661170363261507,-0.470971799679595,-0.0364960978861574,-0.147427112941926,-0.101833576317232,-0.0555622862142616,1.42739490365877,1.10631485665122,-0.304088127585723,-0.190577063229104,0.863091079664776,0.936256837825376,0.974908843416092,-0.742569524929121,2.10310390830351,-0.614958473462716,0.28883767237789,181
"919","TDY","Capital Goods",-0.372211745901368,-0.356891651165348,-0.337841064585113,-0.333845645003225,-0.349398893390077,-0.266279195315052,-0.133622624141291,-0.193230433572091,-0.239522383254397,-0.112599444062567,-0.0847854388232343,-0.0263037990441461,0.0458829823057244,-0.116780692901861,-0.122036909555951,-0.101630195801509,-0.00550825633454107,0.140833495710928,0.0323182761285314,0.278405857521569,-0.0146560496163125,0.233186940014383,-0.0401310431973915,0.441589693223357,-0.0375938108210444,-0.121171921779865,-0.10110383749411,-0.0533252813754213,0.730396692447302,-0.153750087315715,-0.499447478851737,-0.482479707409661,-0.516228570992903,-0.56069697957273,0.162355089203733,0.0957307502737372,-0.669775208865899,-0.527131483697608,0.678879861046242,185
"920","TE","Public Utilities",-0.341878410262198,-0.278446325637462,-0.32886616457285,-0.324183566953581,-0.260785614456807,-0.26445893649793,-0.134774901786633,-0.137464218141852,-0.175737326004677,-0.232181366488281,0.0620676878325016,0.0403096351508064,0.0895174731002604,-0.0854855671566821,-0.1983872561375,0.0605219383397636,-0.0396668842855753,-0.0299020758037176,0.0578698730414114,-0.119968453847745,-0.032767478937557,-0.325708182065026,0.0143885894452992,-0.221624011477943,-0.0327256925880673,-0.175130866374997,0.00866424442604622,-0.102912221969715,-0.371782915510467,-0.712187960210151,-0.0690702592062156,-0.0632902691043406,0.597837300692146,0.642736481472806,0.974908843416092,1.13064815572626,-0.534628161598213,4.71682527699076,-1.56337153718468,27
"921","TEN","Capital Goods",-0.384029928617927,-0.435695174526696,-0.156795667786016,-0.291720351579003,-0.287658634017702,-0.262837251369949,-0.131541378471797,-0.185794938181393,-0.208033789937394,-0.117183091070185,-0.119408705526708,-0.380243179399993,-0.00437953240696892,-0.215740955393373,0.117667666921005,-0.311407432277981,-0.331329015252098,-0.136391787933986,0.0116287239723533,0.458658872932019,0.0763063441175798,0.969502427301739,-0.0490478055454952,0.171677138984456,-0.0373790408990013,-0.103245963676113,0.0725483975379636,-0.0723398225055641,-0.454974415055187,0.175585068493825,-0.427206544145164,-0.377841042305454,-0.516228570992903,-0.56069697957273,0.162355089203733,-0.397178811329129,-0.570532195217012,0.0492978951092698,-0.722309413475489,70
