"","MarketCap","EnterpriseValue","Revenue","GrossProfit","EBITDA","NetIncomeAvltoCommon","TotalCash","TotalDebt","OperatingCashFlow","LeveredFreeCashFlow","symbol","TrailingPE","ForwardPE","PEGRatio","PriceSales","PriceBook","EnterpriseValueRevenue","EnterpriseValueEBITDA","ProfitMargin","OperatingMargin","ReturnonAssets","ReturnonEquity","RevenuePerShare","QtrlyRevenueGrowth","DilutedEPS","QtrlyEarningsGrowth","TotalCashPerShare","TotalDebtEquity","CurrentRatio","BookValuePerShare","Beta","AvgVol","AvgVol1","ForwardAnnualDividendYield","TrailingAnnualDividendYield3","Sector","AnalystOpinion","RollingAVG","Volatility","Kurtosis","RSI","cluster"
"524",1.122e+10,1.084e+10,4.52e+09,2.86e+09,902900000,-427800000,1.85e+09,1.95e+09,697700000,521150000,"JNPR",0,13.47,1.17,2.41,2.57,2.4,12,-0.0947,0.1619,0.0496,-0.0788,10.82,-0.006,-1.02,-0.285,4.74,45.87,1.55,10.9,0.49,5571460,12074100,0.015,0.014,"Technology",2.6,0.0911690140558465,0.00990084093508528,3.89916804781161,15.6250659179173,15
"525",3.06e+09,2.78e+09,1.03e+09,920100000,334500000,170800000,654300000,4.52e+08,216900000,231980000,"JNS",17.8,13.54,0.83,2.88,1.86,2.7,8.3,0.1724,0.3043,0.0718,0.1127,5.69,0.176,0.92,0.231,3.62,27.81,3.4,8.8,1.24,2491380,3073540,0.022,0.02,"Finance",2.3,-0.110660595703242,0.0126350355661107,3.07837787087988,64.5162955292538,10
"526",2.57e+09,3.71e+09,3.52e+09,1.11e+09,579700000,270530000,192090000,1.28e+09,209540000,164030000,"JOY",9.63,10.08,1.76,0.73,0.94,1.05,6.4,0.0768,0.1262,0.0507,0.0974,35.85,-0.128,2.74,-0.477,1.97,46.77,2.29,28.14,1.29,2105150,2804140,0.03,0.03,"Energy",2.7,-0.345343791802966,0.0165188352532665,3.23000432909637,61.0091564262185,40
"527",2.5429e+11,-1.092e+11,9.07e+10,9.107e+10,0,2.086e+10,1.01e+12,6.4892e+11,0,0,"JPM",12.38,10.59,1.85,2.82,1.18,-1.2,0,0.2505,0.3669,0.0091,0.097,24.32,-0.037,5.54,0.051,273.38,0,0,58.33,1.25,14535200,13617500,0.026,0.024,"Finance",2,0.101883532693647,0.00842581768205792,2.66562639858492,57.7869544476156,137
"528",101370000,80960000,74220000,63340000,-9480000,-6520000,19310000,0,0,0,"JRJC",0,0,0,1.37,1.6,1.09,-8.54,-0.0878,-0.1536,-0.0607,-0.1707,3.38,-0.409,-0.3,0,0.87,0,2.72,2.86,4.3,638744,252500,0,0,"Miscellaneous",3,-0.180679785330948,0.0365142543954802,7.09763901035554,43.2432432432433,138
"529",74700000,78560000,253740000,74300000,24230000,15230000,16150000,25840000,22540000,12340000,"JST",4.97,0,0,0.3,0.34,0.31,3.24,0.06,0.0623,0.0282,0.0695,15.51,0.411,0.92,-0.014,0.99,11.49,2.36,13.81,0.83,32825,27813,0.007,0.024,"Consumer Durables",2,-0.0578730957130535,0.0204284021058958,5.05682070018652,27.7777777777779,6
"530",31270000,32490000,124790000,15530000,1170000,353820,3620000,5770000,-6820000,-7590000,"JVA",107.02,9.31,0.84,0.25,1.3,0.26,27.7,0.0028,0.0049,0.0112,0.0159,19.95,0.192,0.05,0,0.58,24.03,2.9,3.82,1.5,33950,23113,0,0,"Consumer Non-Durables",2,0.0307377049180329,0.00820116008408093,5.54095063801282,32.5581395348838,16
"531",1.454e+10,1.709e+10,1.379e+10,5.1e+09,1.81e+09,7.08e+08,7.69e+08,3.15e+09,1.21e+09,245380000,"JWN",20.87,18.52,2.79,1.05,5.71,1.24,9.44,0.0513,0.0931,0.0882,0.3084,72.5,0.097,3.66,-0.086,4.04,123.13,1.84,13.38,0.94,1225990,1141550,0.019,0.018,"Consumer Services",2.7,-0.0187891531233379,0.00805521255222522,4.43532054817228,85.5998515201186,27
"532",2.335e+10,3.016e+10,1.439e+10,5.06e+09,1.67e+09,4.53e+08,3.49e+08,7.73e+09,1.62e+09,720500000,"K",52.39,17.55,4.54,1.62,9.16,2.1,18.07,0.0315,0.08,0.0465,0.1459,40.35,-0.05,1.26,-0.441,0.99,291.52,0.86,7.21,0.81,1524530,1118180,0.031,0.021,"Consumer Non-Durables",3.3,0.0463942143016682,0.00529927397076587,3.86838384464622,0,16
"533",499940000,467950000,401010000,178370000,57280000,30460000,42840000,31110000,38100000,31690000,"KAI",16.66,13.03,0.73,1.24,1.93,1.17,8.17,0.0761,0.1153,0.0678,0.1162,36.7,-0.012,2.74,0.365,3.91,12.05,2.24,23.45,1.25,61650,50563,0.016,0.014,"Technology",1.3,-0.16069064537348,0.0124489706565819,6.06921785928761,0,15
